BIGGEST GREEDY COVER (849 entities)
prover9-4d834e562c79194fd63299b611d14d1d8a14bb21966922b4c09bde20: solves 486
prover9-9b82dbf2de4247c642f1203541f747adf9c6f0d46ecd05f2b63bb94f: solves 44, adds 9.05%
prover9-45c1b4ec617f5756ee007d98e66d0e28d2bfa72aa2997d50e3981f3c: solves 21, adds 3.96%
prover9-9e797b1036076c69a598822b474d5431361ae28852e6803e5316417d: solves 14, adds 2.54%
prover9-0268765c041b9e7168cdcc0c3e4548dd79bbf1569c33f961118b4d2f: solves 8, adds 1.42%
prover9-e3c6d3308f4ba32d2b7e504e17865372dc358534ef732f1601f15ea6: solves 6, adds 1.05%
prover9-26ba856785b3d3e95efdaffb3b1fa36a8f470a0833a1eed217124b34: solves 5, adds 0.86%
prover9-ac4d9f129ad6874b044e2c36d5817914c76bbd21434b5ed2dc52c6e5: solves 5, adds 0.86%
prover9-5774663c70cce4e6912ee31f43b8c168298278ff029037d2bb58c335: solves 5, adds 0.85%
prover9-ff7ac704c802c61f527bf39b52b508554d46a5df14bbcdf02000ced1: solves 4, adds 0.67%
prover9-0c9c9f126b1e0bb5708c50ae270bf490478acb007e918a8b1bd25b73: solves 3, adds 0.50%
prover9-8b24d326894d36acd1b88718f826de7c9409c263622a4c8428602c20: solves 3, adds 0.50%
prover9-8a7597c79c861a4d3a815d624a2547d64386b800b2652f4bbbdb3bba: solves 2, adds 0.33%
prover9-f67be64a39dddd16f109c85edd41a9b82b42f8b72ab641d72d872f34: solves 2, adds 0.33%
prover9-49d0632725951d99ea13de9e7ac1f77cbd69b8b1de2ec6dca8f0fdaf: solves 2, adds 0.33%
prover9-76870accab76dcde38ff02f082d6411ae66ed5e8f7aa3a3270f0b69b: solves 2, adds 0.33%
prover9-040b22d19fa065bc38a87bbc449100ad1b1b3ffa25a366210774e225: solves 1, adds 0.16%
prover9-173e438607bd7492572aedc231f5b673e4b52c0a2bd63be188eb104d: solves 1, adds 0.16%
prover9-bcf00caf86895093d86141e888e2576d107f44d9cff6e39b62ab91c0: solves 1, adds 0.16%
prover9-163bcd406087e4df583c46d71533d5810c019d34314eb0c63b9e574d: solves 1, adds 0.16%
prover9-4e17ab7e20e3d86f0d03abb53fd2b6fcbf905b3047e004847f07e449: solves 1, adds 0.16%
prover9-575fe4061e25f1b1bca6119c5180d075b8fe63a4af1147ae1e0579f7: solves 1, adds 0.16%
prover9-b03fd7aaf78e69bba4724cc21d256de7a67c87cfd3a1d62d618eb3e3: solves 1, adds 0.16%
TOTAL = 619
